price,area,district,ward,has_air_conditioner,has_kitchen,has_fridge,has_wardrobe,has_bed,has_mattress,has_sofa,is_full_furniture,is_duplex,has_window,has_camera,has_security,is_free_time,near_school,near_market,near_supermarket,has_wifi,has_parking,has_balcony,washing_machine_type,wc_type,lock_type,water_type,area_group,price_per_sqm,amenity_score,location_score,has_private_facilities,security_score,log_price
3100000.0,26.5,gò vấp,8,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,outer,116981.1320754717,8,0,0,2,14.946912992035967
2800000.0,20.0,gò vấp,11,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,unknown,private,unknown,unknown,outer,140000.0,4,0,0,2,14.845130332288226
3600000.0,25.0,12,thạnh lộc,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,unknown,unknown,unknown,unknown,east,144000.0,1,1,0,1,15.096444681204078
4200000.0,15.0,phú nhuận,4,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,share,unknown,fingerprint,unknown,near_center,280000.0,2,1,0,2,15.250595321348806
4200000.0,30.0,3,14,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,unknown,private,unknown,unknown,center,140000.0,3,1,0,0,15.250595321348806
3100000.0,30.0,bình thạnh,26,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,unknown,share,unknown,bottle,near_center,103333.33333333333,4,0,0,2,14.946912992035967
3100000.0,19.0,bình thạnh,12,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,share,share,unknown,bottle,near_center,163157.8947368421,4,2,0,2,14.946912992035967
1300000.0,20.0,10,12,True,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,share,private,unknown,bottle,center,65000.0,7,2,0,2,14.077875591662238
5500000.0,35.0,phú nhuận,2,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,unknown,unknown,unknown,unknown,near_center,157142.85714285713,6,0,0,0,15.520258832020865
2500000.0,20.0,6,10,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,unknown,unknown,fingerprint,bottle,west,125000.0,6,1,0,2,14.731801689838349
